image_name,class_id,xmin,ymin,xmax,ymax
1.png,1,0,78.06568,271.153,201.45976
1.png,2,247.6495,198.94149,435.6785,324.85407
10.png,1,300.18243,43.79565,459.99977,94.16055
10.png,2,38.50361,21.89775,289.78091,247.44525
11.png,1,217.51836,45.9855,460,115.5111
11.png,2,32.48175,17.5182,281.02205,253.467
12.png,1,74.0876,54.7446,429.37964,167.5182
12.png,2,45.0731,18.61305,302.91966,261.67875
1_13.jpeg,1,48.082254,18.22245,309,182.222286
1_14.jpeg,1,0,37.82214,290.420114,217.889004
1_14.jpeg,2,13.330965,108.533358,341.397741,270.511218
1_17.jpeg,1,96.728625,103.3632,460.018755,144.966888
1_17.jpeg,2,246.79935,55.816128,419.90067,213.316192
1_18.jpg,1,679.666281,173.3337,1753.000431,563.3343
1_3.png,1,29.70806,47.5516655,412.05048,192.7777585
1_3.png,2,2.719262,117.594483,192.926666,255.109195
1_32.png,1,164.363809,39.274083,523.186023,203.511245
1_32.png,2,0,95.507336,394.652184,362.392664
1_33.png,1,130.540761,69.157605,492.494717,202.981715
1_33.png,2,0.3088605,104.185275,385.6146255,348.481715
1_34.png,1,131.07864,75.133548,488.856368,207.51129
1_34.png,2,0.490028,103.755645,386.890196,343.466613
1_35.png,1,256.882716,16.133172,610.91982,139.822276
1_35.png,2,0,98.592494,438.830928,356.725666
1_37.png,1,109.70118,21.422249,610,205.296091
1_37.png,2,0,97.292664,376.58594,314.192664
1_4.jpg,1,258.35062,0.0001835,345.343124,141.3630785
1_4.jpg,2,136.697176,44.8556575,375.247208,222.2388685
1_8.png,1,83.038802,16.851835,522.872388,231.712845
1_8.png,2,2.1497915,64.0369275,355.1962345,342.0924325
2.png,1,0.00025,79.74445,273.67175,203.97803
2.png,2,248.48875,198.10222,434.83925,323.1753
3.png,1,0.00025,75.54741,118.37975,127.59135
3.png,2,258.562,201.45953,442.394,323.17507
4.png,1,0,75.54741,119.219,127.59135
4.png,2,257.7225,200.62049,441.5545,322.33603
5.png,1,0,76.38668,119.219,127.59112
5.png,2,257.7225,200.62049,444.9125,322.33603
6.png,2,29.880248,61.773762,236.923964,225.372294
7.png,2,50.478335,56.1918455,210.929173,199.7172765
8.png,2,74.6736375,56.868364,235.1243125,195.655012
9.png,1,367.51815,48.7227,459.99977,74.4525
9.png,2,43.97807,19.7082,291.97097,274.2702
